,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia bernieri,Dalechampia bernieri
2,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia aristolochiifolia,Dalechampia aristolochiifolia
3,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia brevicolumna,Dalechampia brevicolumna
4,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia brownsbergensis,Dalechampia brownsbergensis
5,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia canescens,Dalechampia canescens
6,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia dioscoreifolia,Dalechampia dioscoreifolia
7,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia cissifolia,Dalechampia heteromorpha
8,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia juruana,Dalechampia juruana
9,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia magnistipulata,Dalechampia magnistipulata 
10,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia magnoliifolia,Dalechampia magnoliifolia
11,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia parvibracteata,Dalechampia parvibracteata
12,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia scandens,Dalechampia parvifolia
13,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia pernambucensis,Dalechampia pernambucensis
14,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia scandens,Dalechampia scandens 
15,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia schippii,Dalechampia schippii
16,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia schottii,Dalechampia schottii
17,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia spathulata,Dalechampia spathulata
18,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia stipulacea,Dalechampia stipulacea
19,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia subternata,Dalechampia subternata
20,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia tiliifolia,Dalechampia tiliifolia
21,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia capensis,Dalechampia volubilis
22,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia websteri,Dalechampia websteri
23,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris fragrans,Dryopteris fragrans
24,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus alnobetula,Alnus crispa
25,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus incana,Alnus tenuifolia
26,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula nana,Betula nana
27,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Eritrichium,Eritrichium splendens,Eritrichium splendens
28,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,Dianthus repens,Dianthus repens
29,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene acaulis,Silene acaulis
30,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arnica,Arnica griscomii,Arnica frigida
31,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia senjavinensis,Artemisia senjavinensis
32,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Saussurea,Saussurea angustifolia,Saussurea angustifolia
33,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera ogotorukensis,Senecio ogotorukensis
34,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio pauciflorus,Senecio pauciflorus
35,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,NA,Arabis Lemmoni
36,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Draba,NA,Draba Murrayi
37,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Physaria,Physaria arctica,Lesquerella arctica
38,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Smelowskia,Smelowskia calycina,Smelowskia calycina
