,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha hispida,Acalypha hispida
2,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha wilkesiana,Acalypha wilkesiana
3,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus gramineus,Acorus gramineus  
4,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Adansonia,Adansonia gregorii,Adansonia gregorii
5,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Adenia,Adenia karibaensis,Adenia karibaensis
6,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,Adenium obesum,Adenium obesum 
7,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,Adenium obesum,Adenium socotranum
8,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum hispidulum,Adiantum hispidulum  
9,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum macrophyllum,Adiantum macrophyllum
10,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum pedatum,Adiantum pedatum
11,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum polyphyllum,Adiantum polyphyllum
12,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum raddianum,Adiantum raddianum 
13,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum trapeziforme,Adiantum trapeziforme
14,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum venustum,Adiantum venustum
15,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Adromischus,Adromischus cristatus,Adromischus cristatus
16,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea blanchetiana,Aechmea blanchetiana
17,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea caudata,Aechmea caudata 
18,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea correia-araujoi,Aechmea correia-araujoi
19,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea fasciata,Aechmea fasciata
20,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea orlandiana,Aechmea orlandiana  
21,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Aeollanthus,Aeollanthus repens,Aeollanthus repens
22,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,Aeonium arboreum,Aeonium arboreum 
23,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,Aeonium sedifolium,Aeonium sedifolium
24,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,Aeonium tabuliforme,Aeonium tabuliforme
25,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae,Afrocarpus,Afrocarpus usambarensis,Afrocarpus usambarensis 
26,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Agapanthus,NA,Agapanthus 
27,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Agathis,Agathis moorei,Agathis corbassonii
28,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Agathis,Agathis moorei,Agathis moorei
29,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Agathis,Agathis robusta,Agathis robusta
30,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave albopilosa,Agave albopilosa
31,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,Agave americana 
32,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave attenuata,Agave attenuata 
33,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave bracteosa,Agave bracteosa
34,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave chazaroi,Agave chazaroi
35,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave impressa,Agave impressa
36,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave univittata,Agave lophantha 
37,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave parrasana,Agave parrasana  
38,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave potatorum,Agave potatorum 
