,kingdom,phylum,class,order,family,genus,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species,species_id,query
1,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,6,7707728,220,941,6685,3152599,NA,NA,Abutilon
2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Achimenes,6,7707728,220,408,6654,3233488,NA,NA,Achimenes
3,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,6,7707728,7228684,392,2367,2650796,Adiantum tenerum,2651834,Adiantum tenerum
4,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,6,7707728,196,1369,3740,2697812,Aechmea calyculata,2698107,Aechmea calyculata
5,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,6,7707728,196,1369,3740,2697812,Aechmea fasciata,2698346,Aechmea fasciata
6,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,6,7707728,196,1369,3740,2697812,Aechmea fulgens,2698412,Aechmea fulgens 
7,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,6,7707728,196,1369,3740,2697812,Aechmea racinae,2698084,Aechmea racinae
8,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,6,7707728,220,7219248,2406,2985681,Aeonium decorum,7334101,Aeonium decorum
9,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,6,7707728,220,7219248,2406,2985681,Aeonium haworthii,2985683,Aeonium haworthii
10,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,6,7707728,220,408,6654,6365037,Aeschynanthus pulcher,3824839,Aeschynanthus javanicus
11,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,6,7707728,196,1169,7683,2766430,Agave americana,2767031,Agave americana
12,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,6,7707728,196,551,6979,2866350,Aglaonema commutatum,2866467,Aglaonema commutatum
13,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,6,7707728,196,551,6979,2866350,Aglaonema modestum,2866488,Aglaonema modestum
14,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879,Aloe arborescens,2777537,Aloe arborescens
15,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloidendron,6,7707728,196,1169,4259209,9547395,Aloidendron barberae,9444837,Aloe bainesii
16,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879,Aloe vera,2777724,Aloe barbadensis
17,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloiampelos,6,7707728,196,1169,4259209,9431070,Aloiampelos ciliaris,9527904,Aloe ciliaris
18,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879,Aloe ferox,2777789,Aloe ferox
19,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879,Aloe marlothii,2778219,Aloe marlothii
20,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloidendron,6,7707728,196,1169,4259209,9547395,Aloidendron pillansii,9372012,Aloe pillansii
21,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879,Aloe striata,2778035,Aloe striata
22,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,6,7707728,196,627,4687,7906850,Alpinia vittata,5302160,Alpinia sanderae
23,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Ananas,6,7707728,196,1369,3740,2699430,Ananas comosus,5288819,Ananas comosus
24,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,6,7707728,196,1169,7689,2842139,Ansellia africana,2842140,Ansellia africana
25,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,6,7707728,196,551,6979,2872218,Anthurium andraeanum,2872695,Anthurium andraeanum
26,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,6,7707728,220,408,2393,3173228,Aphelandra squarrosa,7263987,Aphelandra squarrosa
27,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,6,7707728,194,640,3924,2684910,Araucaria heterophylla,2684969,Araucaria heterophylla
