,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,NA,Aechmea
2,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,NA,Aeonium
3,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,NA,Agave
4,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,NA,Aloe
5,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe arborescens,Aloe arborescens
6,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Amaryllis,NA,Amaryllis
7,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,NA,Anthurium
8,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus aethiopicus,Asparagus aethiopicus
9,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,NA,Billbergia
10,Plantae,Tracheophyta,Liliopsida,Zingiberales,Strelitziaceae,Strelitzia,Strelitzia reginae,Strelitzia reginae
11,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Bougainvillea,NA,Bougainvillea
12,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Clivia,NA,Clivia
13,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Schlumbergera,NA,Schlumbergera
14,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Echeveria,NA,Echeveria
15,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia milii,Euphorbia milii 
16,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,NA,Cyperus
17,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,NA,Dieffenbachia 
18,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe purpurea,Dracaena marginata
19,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Dyckia,NA,Dyckia
20,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Epiphyllum,NA,Epiphyllum
21,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus benghalensis,Ficus benghalensis
22,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Pelargonium,NA,Pelargonium
23,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Graptopetalum,NA,Graptopetalum
