,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus gramineus,Acorus gramineus
2,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Adansonia,Adansonia digitata,Adansonia digitata
3,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,NA,Adiantum
4,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum formosum,Adiantum formosum
5,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Adromischus,Adromischus cristatus,Adromischus cristatus
6,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea fasciata,Aechmea fasciata
7,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,Aeonium arboreum,Aeonium arboreum
8,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,Aeschynanthus pulcher,Aeschynanthus pulcher
9,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave victoriae-reginae,Agave victoriae-reginae
10,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Alisma,NA,Alisma
11,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,Allamanda schottii,Allamanda schottii
12,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera,Aloe vera
13,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia purpurata,Alpinia purpurata
14,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera ficoidea,Alternanthera ficoidea
15,Plantae,Tracheophyta,Magnoliopsida,Amborellales,Amborellaceae,Amborella,Amborella trichopoda,Amborella trichopoda
16,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,NA,Amorphophallus
17,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus laoticus,Amorphophallus laoticus
18,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus paeoniifolius,Amorphophallus paeoniifolius
19,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus titanum,Amorphophallus titanum
20,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Ananas,Ananas comosus,Ananas comosus
21,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecum,Angraecum sesquipedale,Angraecum bosseri
22,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecum,Angraecum leonis,Angraecum leonis
23,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecum,Angraecum magdalenae,Angraecum magdalenae
24,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona glabra,Annona glabra
25,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Anomochloa,Anomochloa marantoidea,Anomochloa marantoidea
26,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,NA,Anthurium
27,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium andraeanum,Anthurium andraeanum
28,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium radicans,Anthurium radicans
29,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium scandens,Anthurium scandens
30,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,Ardisia crenata,Ardisia crenata
31,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Ariocarpus,Ariocarpus fissuratus,Ariocarpus fissuratus
32,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,NA,Aristolochia
33,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,Aristolochia fimbriata,Aristolochia fimbrata
34,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,Aristolochia gigantea,Aristolochia gigantea
35,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,Aristolochia elegans,Aristolochia littoralis
36,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,Aristolochia oblongata,Aristolochia oblongata
37,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus asparagoides,Asparagus asparagoides
38,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus densiflorus,Asparagus densiflorus
39,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium nidus,Asplenium nidus
