,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
1,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Crossandra,Crossandra infundibuliformis,6,7707728,220,408,2393,6359788,6359825,Crossandra infundibuliformis
2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Strobilanthes,Strobilanthes alternata,6,7707728,220,408,2393,6359394,8297383,Hemigraphis alternata
3,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Hypoestes,Hypoestes phyllostachya,6,7707728,220,408,2393,3173195,3173196,Hypoestes phyllostachya
4,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Megaskepasma,Megaskepasma erythrochlamys,6,7707728,220,408,2393,6359801,3773061,Megaskepasma erythrohlamys
5,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,Ruellia makoyana,6,7707728,220,408,2393,3171840,8029019,Ruellia makoyana
6,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,Thunbergia coccinea,6,7707728,220,408,2393,3173206,5574269,Thunbergia coccinea
7,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus calamus,6,7707728,196,7227341,3719,2730063,2873769,Acorus calamus
8,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,6,7707728,196,1169,7683,2766430,2767031,Agave americana
9,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Aloinopsis,Aloinopsis schooneesii,6,7707728,220,422,6752,7329472,3707147,Aloinopsis schooneesii
10,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Argyroderma,Argyroderma testiculare,6,7707728,220,422,6752,7329348,3705500,Argyroderma testiculare
11,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Conophytum,Conophytum bilobum,6,7707728,220,422,6752,7329128,7329433,Conophytum gracilistyllum
12,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Conophytum,Conophytum lydiae,6,7707728,220,422,6752,7329128,3704851,Conophytum lydiae
13,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Conophytum,Conophytum marginatum,6,7707728,220,422,6752,7329128,7329316,Conophytum margonatum
14,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Conophytum,Conophytum verrucosum,6,7707728,220,422,6752,7329128,3708519,Conophytum verrucosum
15,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Faucaria,Faucaria felina,6,7707728,220,422,6752,7329198,7329215,Faucaria felina 
16,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Gibbaeum,Gibbaeum petrense,6,7707728,220,422,6752,7329130,3708497,Gibbeaum petrense
17,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Lithops,Lithops dorotheae,6,7707728,220,422,6752,3231652,5554360,Lithops dorotheae
