"","kingdom","phylum","class","order","family","genus","species","kingdom_id","phylum_id","class_id","order_id","family_id","genus_id","species_id","query"
"1","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","Azolla","Azolla caroliniana","6","7707728","7228684","7229405","6629","2650103","2650105","Azolla caroliniana"
"2","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Lemna","Lemna minor","6","7707728","196","551","6979","2867567","2867589","Lemna minor"
"3","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Pachypodium","Pachypodium lamerei","6","7707728","220","412","6701","3231015","5535474","Pachypodium lamerei"
"4","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia milii","6","7707728","220","1414","4691","3063749","3067157","Euphorbia splendens"
"5","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Crinum","Crinum asiaticum","6","7707728","196","1169","7682","2773870","2853796","Crinum asiaticum"
"6","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Tillandsia",NA,"6","7707728","196","1369","3740","8279994",NA,"Tillandsia "
"7","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Agave americana","6","7707728","196","1169","7683","2766430","2767031","Agave americana"
"8","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Agave sisalana","6","7707728","196","1169","7683","2766430","2766636","Agave sisalana "
"9","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia tirucalli","6","7707728","220","1414","4691","3063749","3069353","Euphorbia tirucalli"
"10","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Platycerium",NA,"6","7707728","7228684","392","2368","7126742",NA,"Platycerium"
"11","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","Gasteria",NA,"6","7707728","196","1169","4259209","2778529",NA,"Gasteria"
"12","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Chlorophytum","Chlorophytum comosum","6","7707728","196","1169","7683","9388590","2774846","Chlorophytum comosum"
"13","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Guarianthe","Guarianthe bowringiana","6","7707728","196","1169","7689","2816064","2816091","Cattleya bowringiana"
"14","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Epidendrum","Epidendrum stamfordianum","6","7707728","196","1169","7689","5297341","5320048","Epidendrum stamfordianum"
"15","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Billbergia","Billbergia nutans","6","7707728","196","1369","3740","2693699","2693788","Billbergia nutans"
"16","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","Haworthia",NA,"6","7707728","196","1169","4259209","2779529",NA,"Haworthia"
"17","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Ceropegia","Ceropegia pulvinata","6","7707728","220","412","6701","7150518","9462513","Stapelia hirsuta"
"18","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia lactea","6","7707728","220","1414","4691","3063749","3069859","Euphorbia lactea"
"19","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Davalliaceae","Davallia","Davallia solida","6","7707728","7228684","392","3229325","7148551","7148557","Davallia fejeensis"
"20","Plantae","Tracheophyta","Cycadopsida","Cycadales","Zamiaceae","Dioon","Dioon edule","6","7707728","228","834","5375","2683494","2683503","Dioon edule"
"21","Plantae","Tracheophyta","Cycadopsida","Cycadales","Zamiaceae","Dioon","Dioon spinulosum","6","7707728","228","834","5375","2683494","2683495","Dioon spinulosum"
"22","Plantae","Tracheophyta","Cycadopsida","Cycadales","Zamiaceae","Zamia",NA,"6","7707728","228","834","5375","2683306",NA,"Zamia"
"23","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cereus","Cereus repandus","6","7707728","220","422","2519","3084079","8429062","Cereus peruvianus"
"24","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia",NA,"6","9","125","376","6110","2688569",NA,"Marchantia"
"25","Plantae","Bryophyta","Sphagnopsida","Sphagnales","Sphagnaceae","Sphagnum",NA,"6","35","190","623","4673","2668958",NA,"Sphagnum"
"26","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Jatropha","Jatropha podagrica","6","7707728","220","1414","4691","3072692","3073016","Jatropha podagrica"
"27","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Vanilla","Vanilla planifolia","6","7707728","196","1169","7689","2743233","2803398","Vanilla planifolia"
