"","kingdom","phylum","class","order","family","genus","species","query"
"1","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Adromischus","Adromischus cristatus","Adromischus cristatus"
"2","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache",NA,"Agastache austromontana"
"3","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Agave americana","Agave americana"
"4","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Albuca","Albuca bracteata","Albuca bracteata"
"5","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Alcea","Alcea rosea","Alcea rosea"
"6","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","Aloe","Aloe arborescens","Aloe arborescens"
"7","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","Aloe","Aloe hemmingii","Aloe hemmingii"
"8","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Angelonia","Angelonia angustifolia","Angelonia angustifolia"
"9","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Antirrhinum","Antirrhinum majus","Antirrhinum majus"
"10","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia",NA,"Aquilegia"
"11","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias speciosa"
"12","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias tuberosa","Asclepias tuberosa"
"13","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus densiflorus","Asparagus densiflorus"
"14","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus setaceus","Asparagus setaceus"
"15","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Beaucarnea","Beaucarnea recurvata","Beaucarnea recurvata"
"16","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Begoniaceae","Begonia",NA,"Begonia"
"17","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Bowiea","Bowiea volubilis","Bowiea volubilis"
"18","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Buddleja",NA,"Buddleja"
"19","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cephalocereus","Cephalocereus senilis","Cephalocereus senilis"
"20","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Ceropegia","Ceropegia dichotoma","Ceropegia dichotoma"
"21","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae","Clerodendrum thomsoniae"
"22","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula muscosa","Crassula muscosa"
