,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Polyscias,Polyscias cumingiana,Polyscias crispata
2,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema commutatum,Aglaonema commutatum
3,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Punica,Punica granatum,Punica granatum
4,Plantae,Tracheophyta,Magnoliopsida,Zygophyllales,Zygophyllaceae,Guaiacum,Guaiacum officinale,Guaiacun officinale
5,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium nidus,Asplenium nidus
6,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus limon,Citrus limon
7,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Dischidia,Dischidia vidalii,Dischidia pectinoides
8,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Grindelia,Grindelia integrifolia,Grindella integrifoloia
9,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera canariensis,Hedera canariensis
10,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Orobanche,Orobanche minor,Orobanche minor
11,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Salvinia,Salvinia minima,Salvinia minima
12,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,Tillandsia ionantha,Tillandsia ionantha 
13,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Tacca,Tacca leontopetaloides,Tacca leontopetaloides 
14,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,Aristolochia gigantea,Aristolochia gigantea
15,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Marsileaceae,Marsilea,Marsilea drummondii,Marsilea drummondii
16,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minor,Lemna minor
17,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,Eichhornia,Eichhornia crassipes,Eichornia crassipes
18,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa pudica,Mimosa pudica 
19,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,Billbergia nutans,Billbergia nutans 
20,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,Aristolochia fimbriata,Aristolochia fimbriata 
21,Plantae,Tracheophyta,Gnetopsida,Welwitschiales,Welwitschiaceae,Welwitschia,Welwitschia mirabilis,Welwitschia mirabilis 
22,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,Sphagneticola trilobata,Sphagneticola trilobata 
23,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus calamus,Acorus americanus 
24,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Coleus,Coleus amboinicus,Plectranthus amboinicus 
25,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pteris,Pteris ensiformis,Pteris ensiformis 
26,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Scadoxus,Scadoxus multiflorus,Scadoxus multiflorus 
27,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Ornithogalum,Ornithogalum thyrsoides,Ornithgalum thyrsoides 
28,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,Plumeria rubra,Plumeria rubra 
29,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia spathacea,Trandescantia spathacea
30,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Iochroma,Iochroma cyaneum,Iochroma cyanea
31,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Gratiola,Gratiola officinalis,Gratiola officianlis 
32,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Pachystachys,Pachystachys lutea,Pachystachys lutea 
33,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Crossandra,Crossandra infundibuliformis,Crossandra infundibuliformis 
