"","kingdom","phylum","class","order","family","genus","species","kingdom_id","phylum_id","class_id","order_id","family_id","genus_id","species_id","query"
"1","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus moschatus","6","7707728","220","941","6685","8183892","3152709","Abelmoschus moschatus"
"2","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon",NA,"6","7707728","220","941","6685","3152599",NA,"Abutilon"
"3","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha setosa","6","7707728","220","1414","4691","3055964","3055977","Acalypha setosa"
"4","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae",NA,NA,"6","7707728","220","408","2393",NA,NA,"Acanthaceae"
"5","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Adenium","Adenium obesum","6","7707728","220","412","6701","7155880","7155887","Adenium obesum"
"6","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum capillus-veneris","6","7707728","7228684","392","2367","2650796","2651816","Adiantum capillus-veneris"
"7","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum hispidulum","6","7707728","7228684","392","2367","2650796","2651839","Adiantum hispidulum"
"8","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Adromischus","Adromischus cristatus","6","7707728","220","7219248","2406","7334155","7334238","Adromischus cristatus"
"9","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Aechmea","Aechmea calyculata","6","7707728","196","1369","3740","2697812","2698107","Aechmea calyculata"
"10","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Aechmea","Aechmea fasciata","6","7707728","196","1369","3740","2697812","2698346","Aechmea fasciata"
"11","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae",NA,NA,"6","7707728","196","1169","7683",NA,NA,"Agavaceae"
"12","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Agave americana","6","7707728","196","1169","7683","2766430","2767031","Agave americana"
"13","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Agave potatorum","6","7707728","196","1169","7683","2766430","2766741","Agave potatorum"
"14","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Agave victoriae-reginae","6","7707728","196","1169","7683","2766430","2766696","Agave victoria-reginae"
"15","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Aglaia","Aglaia odorata","6","7707728","220","933","2397","3190479","5597349","Aglaia odorata"
"16","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Drynaria","Drynaria coronans","6","7707728","7228684","392","2368","7126669","4025407","Aglaomorpha coronans"
"17","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Aglaonema",NA,"6","7707728","196","551","6979","2866350",NA,"Aglaonema"
"18","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Aglaonema","Aglaonema simplex","6","7707728","196","551","6979","2866350","2866378","Aglaonema simplex"
"19","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae",NA,NA,"6","7707728","220","422","6752",NA,NA,"Aizoaceae"
"20","Plantae","Tracheophyta","Liliopsida","Liliales","Alstroemeriaceae","Alstroemeria","Alstroemeria psittacina","6","7707728","196","1172","7695","2753642","2753743","Alstroemeria psittacina"
"21","Plantae","Tracheophyta","Liliopsida","Liliales","Alstroemeriaceae",NA,NA,"6","7707728","196","1172","7695",NA,NA,"Alstroemeriaceae"
"22","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae",NA,NA,"6","7707728","196","1169","7682",NA,NA,"Amaryllidaceae"
"23","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Amorphophallus","Amorphophallus konjac","6","7707728","196","551","6979","2871389","2871520","Amorphophallus rivieri"
"24","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Anacampserotaceae","Anacampseros","Anacampseros rufescens","6","7707728","220","422","4909163","6008787","4022990","Anacampseros rufescens"
"25","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Aphelandra","Aphelandra aurantiaca","6","7707728","220","408","2393","3173228","7264328","Aphelandra aurantiaca"
"26","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA,NA,"6","7707728","220","1351","6720",NA,NA,"Apiaceae"
"27","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae",NA,NA,"6","7707728","220","412","6701",NA,NA,"Apocynaceae"
"28","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae",NA,NA,"6","7707728","196","551","6979",NA,NA,"Araceae"
"29","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae",NA,NA,"6","7707728","220","1351","8800",NA,NA,"Araliaceae"
"30","Plantae","Tracheophyta","Pinopsida","Pinales","Araucariaceae","Araucaria","Araucaria columnaris","6","7707728","194","640","3924","2684910","2684921","Araucaria excelsa"
"31","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae",NA,NA,"6","7707728","196","552","7681",NA,NA,"Arecaceae"
"32","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Asclepiadaceae",NA,NA,"6","7707728","220","412","6700",NA,NA,"Asclepiadaceae"
"33","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias curassavica","6","7707728","220","412","6701","3170229","3170241","Asclepias curassavica"
"34","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Vanda",NA,"6","7707728","196","1169","7689","2783121",NA,"Ascocentrum"
"35","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae",NA,NA,"6","7707728","196","1169","7683",NA,NA,"Asparagaceae"
"36","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus densiflorus","6","7707728","196","1169","7683","9527393","2768503","Asparagus densiflorus"
"37","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis","6","7707728","196","1169","7683","9527393","2768885","Asparagus officinalis"
"38","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae",NA,NA,"6","7707728","196","1169","4259209",NA,NA,"Asphodelaceae"
"39","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Aspidistra","Aspidistra elatior","6","7707728","196","1169","7683","2769883","2769937","Aspidistra elatior"
"40","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Aspleniaceae","Asplenium","Asplenium nidus","6","7707728","7228684","392","6625","2650583","2650676","Asplenium nidus"
"41","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA,"6","7707728","220","414","3065",NA,NA,"Asteraceae"
"42","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Astrophytum",NA,"6","7707728","220","422","2519","8166122",NA,"Astrophytum"
"43","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Astrophytum","Astrophytum myriostigma","6","7707728","220","422","2519","8166122","7282451","Astrophytum myriostigma"
"44","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Astrophytum","Astrophytum ornatum","6","7707728","220","422","2519","8166122","7282413","Astrophytum ornatum"
"45","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae",NA,NA,"6","7707728","220","1353","6699",NA,NA,"Balsaminaceae"
"46","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Begoniaceae","Begonia",NA,"6","7707728","220","7224005","6638","2874710",NA,"Begonia"
"47","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Begoniaceae","Begonia","Begonia boliviensis","6","7707728","220","7224005","6638","2874710","7303307","Begonia boliviensis"
"48","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Begoniaceae","Begonia","Begonia cucullata","6","7707728","220","7224005","6638","2874710","2874717","Begonia semperflorens"
"49","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Begoniaceae",NA,NA,"6","7707728","220","7224005","6638",NA,NA,"Begoniaceae"
