,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum
2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,Acanthus montanus,Acanthus montanus
3,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Avicennia,Avicennia germinans,Avicennia germinans
4,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Fittonia,Fittonia albivenis,Fittonia argyroneua
5,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia brandegeeana,Justicia brandegeana
6,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia carnea,Justicia  carnea
7,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Megaskepasma,Megaskepasma erythrochlamys,Megaskepasma erythrochlamys
8,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,Acer rubrum
9,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum obovatum,Viburnum  obovatum 
10,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,Chlorophytum filipendulum,Chlorophytum amaniense
11,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,Yucca aloifolia,Yucca aloifolia
12,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum,Mesembryanthemum cordifolium,Aptenia cordifolia
13,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Sesuvium,NA,Sesuvium 
14,Plantae,Tracheophyta,Liliopsida,Liliales,Alstroemeriaceae,Alstroemeria,NA,Alstroemeria
15,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Clivia,Clivia miniata,Clivia miniata
16,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Crinum,Crinum asiaticum,Crinum asiaticum
17,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Eucharis,Eucharis grandiflora,Eucharis grandiflora
18,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum hybr,Hippeastrum hybrid
19,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum vittatum,Hippeastrum vittatum
20,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Scadoxus,Scadoxus multiflorus,Scadoxus  multiflorus
21,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,NA,Zephyranthes 
22,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,Mangifera indica
23,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Asimina,Asimina obovata,Asimina obovata
24,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Asimina,Asimina parviflora,Asimina parviflora
25,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium yuccifolium,Eryngium yuccifolium
26,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Steganotaenia,Steganotaenia araliacea,Steganotaenia araliacea
27,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,Adenium obesum,Adenium obesum
28,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias curassavica,Asclepia  curasaavica
29,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias perennis,Asclepias perennis
30,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus,Catharanthus roseus
31,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Dischidia,Dischidia vidalii,Dischidia vidalii
32,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Dischidia,Dischidia ruscifolia,Dischidia ruscifolia
33,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,NA,Mandevilla spendens 
34,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Matelea,Matelea floridana,Matelea floridana
35,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Nerium,Nerium oleander,Nerium oleander
36,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,Plumeria rubra,Plumeria acuminata
37,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,Plumeria rubra,Plumeria rubra
38,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Thevetia,Thevetia peruviana,Thevetia peruviana
39,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Wrightia,Wrightia religiosa,Wrightia religiosa
40,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex glabra,Ilex glabra
41,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema commutatum,Aglaonema commutatum
42,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema modestum,Aglaonema modestum
43,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus titanum,Amorphopallus titanum
44,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus konjac,Amorphophallus konjac
45,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium scandens,Anthurium  scandens
46,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium polyschistum,Anthurium polyschistum
47,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Arisaema,Arisaema triphyllum,Arisaema triphyllum
48,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Caladium,Caladium bicolor,Caladium bicolor 
49,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Colocasia,Colocasia esculenta,Colocasia esculenta
50,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,Dieffenbachia seguine,Dieffenbachia amoena
51,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Epipremnum,Epipremnum aureum,Epipremnum aureum
52,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Orontium,Orontium aquaticum,Orontium aquaticum 
53,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron scandens,Philodendron  scandens
54,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron verrucosum,Philodendron verrucosum
55,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron hederaceum,Philodendron hederaceium
56,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron cordatum,Philodendron cordatum
57,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Spathiphyllum,Spathiphyllum wallisii,Spathiphyllum wallisii
58,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Syngonium,Syngonium podophyllum,Syngonium podophyllum
59,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Zamioculcas,Zamioculcas zamiifolia,Zamioculcas zamifolia
60,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Fatshedera,Fatshedera lizei,Fatshedera lizei
61,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera helix,Hedera helix 
62,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera,Schefflera arboricola,Schefflera arboricola
63,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Steganotaenia,NA,Steganotaenia 
64,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,Araucaria columnaris,Araucaria excelsa
65,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,NA,Chamaedorea sp
66,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Rhapis,Rhapis excelsa,Rhaphis excelsa
67,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Rhapidophyllum,Rhapidophyllum hystrix,Rhapidophyllum hystrix
68,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Sabal,Sabal etonia,Sabel etonia
69,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Serenoa,Serenoa repens,Serenoa repens
70,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Washingtonia,Washingtonia robusta,Washingtonia robusta
71,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias curassavica,Asclepias curassavica
72,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Dischidia,Dischidia vidalii,Dischidia vidalii
73,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya carnosa,Hoya carnosa
74,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya carnosa,Hoya carnosa hybrid
75,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave potatorum,Agave potatorum
76,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,NA,Agave agustifolia
77,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,NA,Agave desmettiana
78,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Cordyline,Cordyline australis,Cordyline australis
79,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Cordyline,Cordyline fruticosa,Cordyline fruiticosa
80,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera,Aloe vera
81,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium nidus,Asplenium nidus
82,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ampelaster,Ampelaster carolinianus,Aster carolinianus
83,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Berlandiera,Berlandiera subacaulis,Berlandiera subacaulis
