,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,Abronia fragrans,Abronia fragrans
2,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,Abronia elliptica,Abronia glabrifolia
3,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,Abronia pogonantha,Abronia pogonantha
4,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,NA,Abutilon
5,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Callianthe,Callianthe megapotamica,Abutilon megapotamicum
6,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,NA,Acacia
7,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha hispida,Acalypha hispida
8,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha wilkesiana,Acalypha wilkesiana
9,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,Cereus fernambucensis,Acanthocereus pentagonus
10,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Acoelorrhaphe,Acoelorrhaphe wrightii,Acoelorrhaphe wrightii
11,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus gramineus,Acorus gramineus
12,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Adenia,NA,Adenia
13,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,Adenium obesum,Adenium obesum
14,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum capillus-veneris,Adiantum capillus-veneris
15,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum caudatum,Adiantum caudatum
16,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum hispidulum,Adiantum hispidulum
17,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum raddianum,Adiantum raddianum
18,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Adromischus,Adromischus cristatus,Adromischus cristatus
19,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Adromischus,Adromischus maculatus,Adromischus maculatus
20,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea fasciata,Aechmea fasciata
21,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea gamosepala,Aechmea gamosepala
22,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,Aeonium arboreum,Aeonium arboreum
23,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,Aeschynanthus longicaulis,Aeschynanthus longicaulis
24,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,Aeschynanthus radicans,Aeschynanthus radicans
25,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Agastache,NA,Agastache
26,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,Agave americana
27,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave angustifolia,Agave angustifolia
28,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave decipiens,Agave decipiens
29,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave lecheguilla,Agave lechequilla
30,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Drynaria,Drynaria coronans,Aglaomorpha coronans
31,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema commutatum,Aglaonema commutatum
32,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema modestum,Aglaonema modestum
33,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,Allamanda cathartica,Allamanda cathartica
