,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ecbolium,Ecbolium viride,Ecbolium viride
2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Fittonia,Fittonia albivenis,Fittonia albivensis
3,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Fittonia,Fittonia albivenis,Fittonia verschaffeltii
4,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,NA,Ruellia graecizans
5,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,Ruellia makoyana,Ruellia makoyana
6,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruttya,Ruttya fruticosa,Ruttya fruticosa
7,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Onychium,Onychium japonicum,Onychium japonicum
8,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum odoratissimum,Viburnum odoratissimum
9,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Bergeranthus,Bergeranthus scapiger,Bergeranthus scapiger
10,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Drosanthemum,Drosanthemum micans,Drosanthemum micans
11,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Lithops,Lithops julii,Lithops fulleri
12,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Lithops,Lithops hookeri,Lithops hookeri
13,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Lithops,Lithops lesliei,Lithops lesliei
14,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Lithops,Lithops verruculosa,Lithops verruculosa
15,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Iresine,Iresine diffusa,Iresine herbstii
16,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Boophone,Boophone disticha,Boophone disticha
17,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Boophone,Boophone haemanthoides,Boophone haemanthoides
18,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Crossyne,Crossyne flava,Crossyne flava
19,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Cyrtanthus,Cyrtanthus brachyscyphus,Crytanthus brachyscyphus
20,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Eucharis,Eucharis grandiflora,Eucharis grandiflora
21,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Haemanthus,Haemanthus albiflos,Haemanthus albiflos
22,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Haemanthus,Haemanthus deformis,Haemanthus deformis
23,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum calyptratum,Hippeastrum calyptratum
24,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum mandonii,Hippeastrum mandonii
25,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum reticulatum,Hippeastrum reticulata
26,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hymenocallis,NA,Hymenocallis 
27,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Pancratium,Pancratium maritimum,Pancratium maritimum
28,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Rauhia,Rauhia multiflora,Rauhia peruvianus
29,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Scadoxus,Scadoxus multiflorus,Scadoxus multiflorus
30,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Worsleya,Worsleya procera,Worsleya procera
31,Plantae,Tracheophyta,Magnoliopsida,Amborellales,Amborellaceae,Amborella,Amborella trichopoda,Amborella trichopoda
32,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,Mangifera indica
33,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Operculicarya,Operculicarya decaryi,Operculicarya decaryi
34,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Pachycormus,Pachycormus discolor,Pachycormus discolor
35,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Anemiaceae,Anemia,Anemia mexicana,Anemia mexicana
36,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona muricata,Annona muricata
37,Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,Anthoceros,NA,Anthoceros 
38,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Centella,Centella asiatica,Centella asiatica
39,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus,Catharanthus roseus
40,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia ampliata,Ceropegia ampliata
41,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia cimiciodora,Ceropegia cimiciodora
42,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia dichotoma,Ceropegia dichtoma
43,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia collaricorona,Ceropegia woodii
44,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum,Cynanchum marnieranum,Cynanchum marnieranum
45,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum,Cynanchum perrieri,Cynanchum perrieri
46,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Dischidia,Dischidia rafflesiana,Dischidia rafflesiana
47,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Fockea,Fockea edulis,Fockea edulis
48,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Fockea,Fockea angustifolia,Fockea tugelensis
49,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya australis,Hoya australis
50,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya kerrii,Hoya kerrii
51,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya lacunosa,Hoya lacunosa
52,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya lanceolata,Hoya lanceolata
53,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya longifolia,Hoya longifolia
54,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya retusa,Hoya retusa
55,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya serpens,Hoya serpans
56,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia occultiflora,Huernia occulta
57,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,Mandevilla laxa,Mandevilla laxa
58,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum coeruleum,Oxypetalum coeruleum
59,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Pachypodium,Pachypodium baronii,Pachypodium baronii
60,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Pachypodium,Pachypodium geayi,Pachypodium geayi
61,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Pachypodium,Pachypodium lamerei,Pachypodium lamerei
62,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Pachypodium,Pachypodium succulentum,Pachypodium succulentum
63,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Raphionacme,NA,Raphionacme viridiflora
64,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,Rauvolfia serpentina,Rauvolfia serpentina
65,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum,Cynanchum insigne,Sarcostemma insigne
66,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum,Cynanchum socotranum,Sarcostemma socotranum
67,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum,Cynanchum stoloniferum,Sarcostemma stoloniferum
68,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia gigantea,Stapelia gigantea
69,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia leendertziae,Stapelia leendertziae
70,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia revoluta,Stapelia revoluta
71,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Stomatostemma,Stomatostemma monteiroae,Stomatostemma monteiroae
72,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema tricolor,Aglaonema tricolor
73,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia cuprea,Alocasia cuprea
74,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus abyssinicus,Amorphophallus abyssinicus
75,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus bulbifer,Amorphophallus bulbifer
76,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus excentricus,Amorphophallus excentricus
77,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus haematospadix,Amorphophallus haematospadix
78,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus henryi,Amorphophallus henryi
79,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus konjac,Amorphophallus konjac
80,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus krausei,Amorphophallus krausei
81,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus napalensis,Amorphophallus napalensis
82,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus prainii,Amorphophallus prainii
83,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus titanum,Amorphophallus titanum
84,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus variabilis,Amorphophallus variabilis
85,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus yuloensis,Amorphophallus yuloensis
86,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus yunnanensis,Amorphophallus yunnanensis
