"","kingdom","phylum","class","order","family","genus","species","query"
"1","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha hispida","Acalypha hispida"
"2","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha wilkesiana","Acalypha godseffiana"
"3","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Aechmea","Aechmea fulgens","Aechmea fulgens"
"4","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Aglaonema",NA,"Aglaonema"
"5","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera dentata","Alternanthera dentata "
"6","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Anthurium","Anthurium polyschistum","Anthurium polyschistum"
"7","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Anthurium","Anthurium regale","Anthurium regale"
"8","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Anthurium","Anthurium andraeanum","Anthurium andraeanum"
"9","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Anthurium","Anthurium hookeri","Anthurium hookeri"
"10","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Anthurium",NA,"Anthurium"
"11","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Areca","Areca catechu","Areca catechu"
"12","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus setaceus","Asparagus setaceus"
"13","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Aspidistra","Aspidistra elatior","Aspidistra elatior"
"14","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Aspleniaceae","Asplenium","Asplenium nidus","Asplenium nidus"
"15","Plantae","Tracheophyta","Magnoliopsida","Ericales","Lecythidaceae","Barringtonia","Barringtonia racemosa","Barringtonia racemosa"
"16","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Begoniaceae","Begonia","Begonia bowerae","Begonia bowerae"
"17","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Caesalpinia","Caesalpinia pulcherrima","Caesalpinia pulcherrima"
"18","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Caladium","Caladium bicolor","Caladium hortulanum"
"19","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","Goeppertia","Goeppertia bella","Calathea bella"
"20","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","Goeppertia","Goeppertia warscewiczii","Calathea warscewiczii"
"21","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","Goeppertia","Goeppertia rufibarba","Calathea rufibarba"
"22","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","Goeppertia","Goeppertia sanderiana","Calathea sanderiana"
"23","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","Goeppertia","Goeppertia elliptica","Calathea elliptica"
"24","Plantae","Tracheophyta","Liliopsida","Pandanales","Cyclanthaceae","Carludovica","Carludovica palmata","Carludovica palmata"
"25","Plantae","Tracheophyta","Cycadopsida","Cycadales","Zamiaceae","Ceratozamia","Ceratozamia mexicana","Ceratozamia mexicana"
"26","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum nutans","Clerodendrum nutans"
"27","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum quadriloculare","Clerodendrum quadriloculare"
"28","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Clusiaceae","Clusia","Clusia valerii","Clusia valerii"
