,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
1,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,Vachellia drepanolobium,6,7707728,220,1370,5386,8142432,3974788,Acacia drepanolobium 
2,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,Cereus fernambucensis,6,7707728,220,422,2519,3084079,7282711,Acanothocereus tetragonus
3,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,Adenium obesum,6,7707728,220,412,6701,7155880,7155887,Adenium obesum
4,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum capillus-veneris,6,7707728,7228684,392,2367,2650796,2651816,Adiantum capillus-veneris
5,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum hispidulum,6,7707728,7228684,392,2367,2650796,2651839,Adiantum hispidulum 
6,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,Aeschynanthus longicaulis,6,7707728,220,408,6654,6365037,3825597,Aeschynanthus longicaulis
7,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,6,7707728,196,1169,7683,2766430,2767031,Agave americana
8,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Drynaria,Drynaria meyeniana,6,7707728,7228684,392,2368,7126669,8681098,Aglamorpha meyeniana
9,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera,6,7707728,196,1169,4259209,2770879,2777724,Aloe vera
10,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia zerumbet,6,7707728,196,627,4687,7906850,5301979,"Alpinia zerumbet	"
11,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Alsobia,Alsobia dianthiflora,6,7707728,220,408,6654,6365375,5589998,Alsobia dianthiflora 
12,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera ficoidea,6,7707728,220,422,3064,3084921,8160803,Alternanthera ficoidea
13,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus bulbifer,6,7707728,196,551,6979,2871389,2871732,Amorphophallus bulbifer
14,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus konjac,6,7707728,196,551,6979,2871389,2871520,Amorphophallus konjac
15,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus perrieri,6,7707728,196,551,6979,2871389,9132208,Amorphophallus perriei
16,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus titanum,6,7707728,196,551,6979,2871389,2871508,Amorphophallus titanum
17,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,NA,6,7707728,196,551,6979,2872218,NA,Anthurium
18,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,NA,6,7707728,7228684,392,6625,2650583,NA,Asplenium nudis 
19,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Beaucarnea,Beaucarnea recurvata,6,7707728,196,1169,7683,8223115,2768035,Beaucarnea recurvata
20,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,Billbergia nutans,6,7707728,196,1369,3740,2693699,2693788,Billbergia nutans
21,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Bougainvillea,NA,6,7707728,220,422,6718,3086089,NA,Bougainvillea
22,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,Kalanchoe delagoensis,6,7707728,220,7219248,2406,2985928,2985940,Bryophyllum delagonse 
23,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,Kalanchoe fedtschenkoi,6,7707728,220,7219248,2406,2985928,2985934,Bryophyllum fedtschenkoi 
24,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Goeppertia,Goeppertia roseopicta,6,7707728,196,627,8784,7304686,8023661,Calathea roseopicta
25,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,6,7707728,220,422,6752,3084841,3084842,Carpobrotus edulis
26,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia collaricorona,6,7707728,220,412,6701,7150518,3575839,Ceropegia woodii
27,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,Chamaedorea elegans,6,7707728,196,552,7681,2734376,2734661,Chamaedorea elegans
28,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,Chlorophytum comosum,6,7707728,196,1169,7683,9388590,2774846,Chlorophytum comosum
29,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Cissus,Cissus alata,6,7707728,220,7222050,6672,3039160,7760485,Cissus rhombifolia
30,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,Clerodendrum thomsoniae,6,7707728,220,408,2497,2925347,3889087,Clerodendrum thomsoniae 
31,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Clivia,Clivia miniata,6,7707728,196,1169,7682,2858144,9482657,Clivia miniata
32,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica,6,7707728,220,412,8798,2895315,2895345,Coffea arabica
33,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Colocasia,Colocasia esculenta,6,7707728,196,551,6979,5330758,5330776,"Colocasia esculenta	"
