,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus moschatus,Abelmoschus moschatus
2,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,Cereus fernambucensis,Acanthocereus tetragonus
3,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Acca,Acca sellowiana,Acca sellowiana
4,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer macrophyllum,Acer macrophyllum
5,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer palmatum,Acer palmatum 
6,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Achimenes,Achimenes misera,Achimenes misera
7,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Achimenes,Achimenes warszewicziana,Achimenes warszewiczia
8,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,Adenium obesum,Adenium swazicum
9,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum hispidulum,Adiantum hispidulum
10,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum raddianum,Adiantum raddianum
11,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum tenerum,Adiantum tenerum
12,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Adromischus,Adromischus cristatus,Adromischus cristatus
13,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea fasciata,Aechmea fasciata
14,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea nudicaulis,Aechmea nudicaulus
15,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,Aeschynanthus longicaulis,Aeschynanthus longicaulis
16,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,NA,Aeschynanthus 
17,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,NA,Aeschynomene 
18,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Agathis,Agathis robusta,Agathis robusta
19,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,Agave americana
20,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave attenuata,Agave attenuata
21,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave filifera,Agave filifera
22,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave univittata,Agave lophantha
23,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave palmeri,Agave palmeri
24,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave parryi,Agave parryi
25,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave victoriae-reginae,Agave victoriae-reginae
26,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aglaia,Aglaia odorata,Aglaia odorata
27,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,NA,Aglaonema chinensis 
28,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema commutatum,Aglaonema commutatum
29,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,Aglaonema modestum,Aglaonema modestum
30,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia julibrissin,Albizia julibrissin
31,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos,Alocasia macrorrhiza
32,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe camperi,Aloe camperi
33,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe maculata,Aloe latifolia
34,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe squarrosa,Aloe squarrosa
35,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera,Aloe vera
36,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe zebrina,Aloe zebrina
37,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe arborescens,Alow arborescens
38,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia galanga,Alpina galanga
39,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia oceanica,Alpinia oceanica
40,Plantae,Tracheophyta,Liliopsida,Liliales,Alstroemeriaceae,Alstroemeria,NA,Alstroemeria pulchella
41,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Alyxia,Alyxia buxifolia,Alyxia buxifolia
42,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Amorpha,Amorpha fruticosa,Amorpha fruticosa
43,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus bulbifer,Amorphophallus bulbifer
44,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus konjac,Amorphophallus konjac
45,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus muelleri,Amorphophallus muelleri
46,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus titanum,Amorphophallus titanum
47,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Ananas,Ananas comosus,Ananas comosus
48,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Anemiaceae,Anemia,Anemia phyllitidis,Anemia phyllitidis
