,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
1,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Hypoestes,Hypoestes phyllostachya,6,7707728,220,408,2393,3173195,3173196,Hypoestes phyllostachya
2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia carnea,6,7707728,220,408,2393,2904597,3770188,Justicia carnea
3,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Pseuderanthemum,Pseuderanthemum carruthersii,6,7707728,220,408,2393,8272053,3173133,Pseuderanthemum atropurpureum
4,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,Ruellia simplex,6,7707728,220,408,2393,3171840,5572994,Ruellia brittoniana
5,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus calamus,6,7707728,196,7227341,3719,2730063,2873769,Acorus calamus
6,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Drosanthemum,Drosanthemum pulchrum,6,7707728,220,422,6752,3084868,3704780,Drosanthemum pulchrum
7,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Fenestraria,Fenestraria rhopalophylla,6,7707728,220,422,6752,7503567,7329187,Fenestraria rhodalophylla
8,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Hereroa,Hereroa granulata,6,7707728,220,422,6752,7329478,3707374,Hereroa granulata
9,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Oscularia,Oscularia piquetbergensis,6,7707728,220,422,6752,7736952,8625720,Lampranthus piquetbergensis
10,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Pleiospilos,Pleiospilos compactus,6,7707728,220,422,6752,7329438,7329454,Pleiospilos nobilis
11,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera dentata,6,7707728,220,422,3064,3084921,8287429,Alternanthera dentata
12,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera ficoidea,6,7707728,220,422,3064,3084921,8160803,Alternanthera ficoidea
13,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Gomphrena,Gomphrena globosa,6,7707728,220,422,3064,3084899,3084908,Gomphrena globosa
14,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Iresine,Iresine diffusa,6,7707728,220,422,3064,3085024,3085038,Iresine herbstii
15,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Amaryllis,NA,1,54,229,1231,8002,2218379,NA,Amaryllis
16,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Anacampserotaceae,Anacampseros,NA,6,7707728,220,422,4909163,6008787,NA,Anacampseros
17,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Petroselinum,Petroselinum crispum,6,7707728,220,1351,6720,3034906,8193935,Petroselinum crispum
18,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias curassavica,6,7707728,220,412,6701,3170229,3170241,Asclepias curassavica
19,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus,6,7707728,220,412,6701,3169829,3169830,Catharanthus roseus
20,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia linearis,6,7707728,220,412,6701,7150518,7150667,Ceropegia linearis
21,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia collaricorona,6,7707728,220,412,6701,7150518,3575839,Ceropegia woodii
22,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Dischidia,Dischidia major,6,7707728,220,412,6701,7150312,3582258,Dischidia major
23,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya brevialata,6,7707728,220,412,6701,3170437,3575198,Hoya brevialata
24,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya carnosa,6,7707728,220,412,6701,3170437,8658195,Hoya carnosa
25,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Huernia,Huernia schneideriana,6,7707728,220,412,6701,7311640,3570935,Huernia schneideriana
26,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,NA,6,7707728,220,412,6701,3169658,NA,Mandevilla
27,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Nerium,Nerium oleander,6,7707728,220,412,6701,3169755,3169756,Nerium oleander
28,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Pachypodium,Pachypodium lamerei,6,7707728,220,412,6701,3231015,5535474,Pachypodium lamerei
29,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,NA,6,7707728,220,412,6701,3169672,NA,Plumeria
30,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia gigantea,6,7707728,220,412,6701,7150518,9317408,Stapelia gigantea
31,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia pulvinata,6,7707728,220,412,6701,7150518,9462513,Stapelia hirsuta
32,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Trachelospermum,Trachelospermum jasminoides,6,7707728,220,412,6701,3169711,3169713,Trachelospermum jasminoides
33,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aglaonema,NA,6,7707728,196,551,6979,2866350,NA,Aglaonema
34,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus konjac,6,7707728,196,551,6979,2871389,2871520,Amorphophallus rivieri
35,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,NA,6,7707728,196,551,6979,2872218,NA,Anthurium
36,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium scandens,6,7707728,196,551,6979,2872218,2873423,Anthurium scandens
37,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Caladium,NA,6,7707728,196,551,6979,2868340,NA,Caladium
38,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Colocasia,Colocasia esculenta,6,7707728,196,551,6979,5330758,5330776,Colocasia esculenta
39,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,Dieffenbachia seguine,6,7707728,196,551,6979,2869330,2869345,Dieffenbachia seguine
40,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Epipremnum,Epipremnum aureum,6,7707728,196,551,6979,2868270,2868323,Epipremnum aureum
41,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Monstera,Monstera adansonii,6,7707728,196,551,6979,2868125,2868136,Monstera adansonii
42,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Monstera,Monstera deliciosa,6,7707728,196,551,6979,2868125,2868241,Monstera deliciosa
43,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron bipinnatifidum,6,7707728,196,551,6979,2861312,2870781,Philodendron bipinnatifidum
44,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron pedatum,6,7707728,196,551,6979,2861312,2870914,Philodendron pedatum
45,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron bipennifolium,6,7707728,196,551,6979,2861312,2870800,Philodendron bipennifolium
46,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Scindapsus,Scindapsus pictus,6,7707728,196,551,6979,2873692,2873745,Scindapsus pictus
47,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Spathiphyllum,Spathiphyllum wallisii,6,7707728,196,551,6979,2869649,2869680,Spathiphyllum wallisii
48,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Syngonium,NA,6,7707728,196,551,6979,2867833,NA,Syngonium
49,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Sauromatum,Sauromatum venosum,6,7707728,196,551,6979,2867743,2869597,Typhonium venosum
50,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Xanthosoma,Xanthosoma sagittifolium,6,7707728,196,551,6979,2872044,5330901,Xanthosoma sagittifolium
51,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Zamioculcas,Zamioculcas zamiifolia,6,7707728,196,551,6979,2869013,2869014,Zamioculcas zamiifolia
52,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera helix,6,7707728,220,1351,8800,3036021,8351737,Hedera helix
53,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Polyscias,Polyscias balfouriana,6,7707728,220,1351,8800,3035574,3035891,Polyscias balfouriana
54,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera,Schefflera actinophylla,6,7707728,220,1351,8800,3037700,3038546,Schefflera actinophylla
55,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Plerandra,Plerandra elegantissima,6,7707728,220,1351,8800,9561630,7916408,Schefflera elegantissima
56,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera,Schefflera arboricola,6,7707728,220,1351,8800,3037700,3038723,Schefflera arboricola
57,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,Araucaria heterophylla,6,7707728,194,640,3924,2684910,2684969,Araucaria heterophylla
58,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Caryota,Caryota mitis,6,7707728,196,552,7681,2738880,2738902,Caryota mitis
59,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,Chamaedorea seifrizii,6,7707728,196,552,7681,2734376,2734708,Chamaedorea seifrizii
60,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Cocos,Cocos nucifera,6,7707728,196,552,7681,2735116,2735117,Cocos nucifera
61,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Phoenix,Phoenix roebelenii,6,7707728,196,552,7681,2732076,5293153,Phoenix roebelenii
62,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Ravenea,Ravenea rivularis,6,7707728,196,552,7681,2739028,2739031,Ravenea rivularis
63,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,6,7707728,196,1169,7683,2766430,2767031,Agave americana
64,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave victoriae-reginae,6,7707728,196,1169,7683,2766430,2766696,Agave victoriae-reginae
65,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave weberi,6,7707728,196,1169,7683,2766430,2766599,Agave weberi
66,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave zebra,6,7707728,196,1169,7683,2766430,2766876,Agave zebra
67,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave attenuata,6,7707728,196,1169,7683,2766430,2766613,Agave attenuata
68,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave parrasana,6,7707728,196,1169,7683,2766430,2767006,Agave parrasana
69,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Beaucarnea,Beaucarnea recurvata,6,7707728,196,1169,7683,8223115,2768035,Beaucarnea recurvata
70,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Bowiea,Bowiea volubilis,6,7707728,196,1169,7683,2768050,7386178,Bowiea volubilis
71,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Beaucarnea,Beaucarnea hookeri,6,7707728,196,1169,7683,8223115,2776514,Calibanus hookeri
72,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,Chlorophytum filipendulum,6,7707728,196,1169,7683,9388590,2774840,Chlorophytum amaniense
73,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,Chlorophytum comosum,6,7707728,196,1169,7683,9388590,2774846,Chlorophytum comosum
74,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,Dracaena fragrans,6,7707728,196,1169,7683,2752062,5304583,Dracaena fragrans
75,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe purpurea,6,7707728,196,1169,4259209,2770879,2777917,Dracaena marginata
76,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,Dracaena reflexa,6,7707728,196,1169,7683,2752062,5304436,Dracaena reflexa
77,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Sansevieria,Sansevieria kirkii,6,7707728,196,1169,7683,2770498,2770599,Sansevieria kirkii
78,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Sansevieria,Sansevieria cylindrica,6,7707728,196,1169,7683,2770498,2770617,Sansevieria cylindrica
79,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Sansevieria,Sansevieria fischeri,6,7707728,196,1169,7683,2770498,2770590,Sansevieria fischeri
80,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Sansevieria,Sansevieria parva,6,7707728,196,1169,7683,2770498,2770627,Sansevieria parva
81,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Sansevieria,Sansevieria trifasciata,6,7707728,196,1169,7683,2770498,2770610,Sansevieria trifasciata
82,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,Yucca elephantipes,6,7707728,196,1169,7683,2775496,7722879,Yucca elephantipes
83,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe hemmingii,6,7707728,196,1169,4259209,2770879,2777818,Aloe hemmingii
84,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aristaloe,Aristaloe aristata,6,7707728,196,1169,4259209,9265341,9505138,Aloe aristata
85,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera,6,7707728,196,1169,4259209,2770879,2777724,Aloe vera
86,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Gasteria,Gasteria carinata,6,7707728,196,1169,4259209,2778529,2778567,Gasteria carinata
87,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Gasteria,NA,6,7707728,196,1169,4259209,2778529,NA,Gasteria echinata
88,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Gasteria,Gasteria obliqua,6,7707728,196,1169,4259209,2778529,2778690,Gasteria maculata
89,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Gasteria,Gasteria nitida,6,7707728,196,1169,4259209,2778529,2778731,Gasteria nitida
90,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Gasteria,Gasteria obliqua,6,7707728,196,1169,4259209,2778529,2778690,Gasteria lingua
91,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthiopsis,Haworthiopsis fasciata,6,7707728,196,1169,4259209,9233780,9395407,Haworthia fasciata
92,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthia,Haworthia retusa,6,7707728,196,1169,4259209,2779529,2780366,Haworthia retusa
93,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthia,Haworthia truncata,6,7707728,196,1169,4259209,2779529,2779989,Haworthia truncata
94,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium antiquum,6,7707728,7228684,392,6625,2650583,4257299,Asplenium antiquum
95,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Cyrtomium,Cyrtomium falcatum,6,7707728,7228684,392,2373,8245169,2650829,Cyrtomium falcatum
96,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium,6,7707728,220,414,3065,3119995,3120060,Achillia millefolium
97,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Kleinia,Kleinia stapeliiformis,6,7707728,220,414,3065,8048745,5405653,Kleinia stapeliiformis
98,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Kleinia,Kleinia talinoides,6,7707728,220,414,3065,8048745,5405666,Senecio cylindricus
99,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tagetes,Tagetes tenuifolia,6,7707728,220,414,3065,3088468,7497356,Tagetes tenuifolia
100,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia coccinea,6,7707728,220,7224005,6638,2874710,2874715,Begonia coccinea
101,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia listada,6,7707728,220,7224005,6638,2874710,4157039,Begonia listada
102,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia masoniana,6,7707728,220,7224005,6638,2874710,7303407,Begonia masoniana
103,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia cucullata,6,7707728,220,7224005,6638,2874710,2874717,Begonia semperflorens
104,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,NA,6,7707728,220,7224005,6638,2874710,NA,Begonia
105,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tecoma,Tecoma capensis,6,7707728,220,408,6655,3172488,3172489,Tecoma capensis
106,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Ceiba,Ceiba speciosa,6,7707728,220,941,6685,3152218,8688929,Ceiba speciosa
107,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium arborescens,6,7707728,220,7226464,4930387,2925766,2925807,Heliotropium arborescens
108,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Aethionema,Aethionema grandiflorum,6,7707728,220,7225535,3112,3051033,3051147,Aethionema grandiflorum
109,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea fasciata,6,7707728,196,1369,3740,2697812,2698346,Aechmea fasciata
110,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea miniata,6,7707728,196,1369,3740,2697812,2698614,Aechmea miniata
111,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,Billbergia pyramidalis,6,7707728,196,1369,3740,2693699,2693754,Billbergia pyramidalis
112,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,NA,6,7707728,196,1369,3740,2693699,NA,Billbergia hybrid
113,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,Billbergia nutans,6,7707728,196,1369,3740,2693699,2693788,Billbergia nutans
114,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Cryptanthus,Cryptanthus acaulis,6,7707728,196,1369,3740,2694346,5287757,Cryptanthus acaulis
115,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Guzmania,Guzmania monostachia,6,7707728,196,1369,3740,2698853,2699018,Guzmania monostachia
116,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Neoregelia,Neoregelia carolinae,6,7707728,196,1369,3740,2693967,2694159,Neoregelia carolinae
117,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Orthophytum,Orthophytum foliosum,6,7707728,196,1369,3740,2697566,2697606,Orthophytum foliosum
118,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,NA,6,7707728,196,1369,3740,2699764,NA,Vriesea
119,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Austrocylindropuntia,Austrocylindropuntia subulata,6,7707728,220,422,2519,7282090,7282135,Austrocylindropuntia subulata
120,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,Cereus hildmannianus,6,7707728,220,422,2519,3084079,5384000,Cereus hildmannianus
121,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,Cereus repandus,6,7707728,220,422,2519,3084079,8429062,Cereus peruvianus
122,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Echinopsis,Echinopsis terscheckii,6,7707728,220,422,2519,3231908,7281028,Echinopsis terscheckii
123,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Epiphyllum,Epiphyllum hybridum,6,7707728,220,422,2519,3084180,5621125,Epiphyllum hybrid
124,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Hatiora,Hatiora salicornioides,6,7707728,220,422,2519,7959973,7280906,Hatiora salicornioides
125,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Myrtillocactus,Myrtillocactus geometrizans,6,7707728,220,422,2519,7279761,7279778,Myrtillocactus geometrizans
126,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,NA,6,7707728,220,422,2519,3084187,NA,Opuntia
127,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Polaskia,Polaskia chichipe,6,7707728,220,422,2519,7283912,3957364,Polaskia chichipe
128,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Rhipsalis,NA,6,7707728,220,422,2519,3084035,NA,Rhipsalis
129,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Schlumbergera,Schlumbergera truncata,6,7707728,220,422,2519,3084040,5383983,Schlumbergera truncata
130,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Selenicereus,Selenicereus anthonyanus,6,7707728,220,422,2519,3084461,3944930,Selenicereus anthonyanus
131,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,Campanula punctata,6,7707728,220,414,8801,3161935,5411557,Campanula punctata
132,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,Dianthus plumarius,6,7707728,220,422,2518,3085411,3085412,Dianthus plumarius
133,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene latifolia,6,7707728,220,422,2518,3085897,5384805,Silene latifolia
134,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Callisia,Callisia gentlei,6,7707728,196,553,2763195,2763692,5303427,Callisia gentlei
135,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Callisia,Callisia repens,6,7707728,196,553,2763195,2763692,5303420,Callisia repens
136,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Cyanotis,Cyanotis beddomei,6,7707728,196,553,2763195,2756532,5303397,Cyanotis beddomei
137,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Cyanotis,Cyanotis somaliensis,6,7707728,196,553,2763195,2756532,5303359,Cyanotis somaliensis
138,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia sillamontana,6,7707728,196,553,2763195,2765096,2765120,Tradescantia sillamontana
139,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia pallida,6,7707728,196,553,2763195,2765096,2765221,Tradescantia pallida
140,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia fluminensis,6,7707728,196,553,2763195,2765096,2765156,Tradescantia fluminensis
141,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tripogandra,Tripogandra multiflora,6,7707728,196,553,2763195,2765377,2765399,Tripogandra multiflora
142,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Dichondra,Dichondra argentea,6,7707728,220,1176,2389,2928658,2928668,Dichondra argentea
