,kingdom,phylum,class,order,family,genus,species,query
1,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Barleria,Barleria repens,Barleria repens
2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia brandegeeana,Justicia brandegeeana
3,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Scadoxus,Scadoxus multiflorus,Scadoxus multiflorus
4,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum striatum,Hippeastrum striatum
5,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Haemanthus,Haemanthus albiflos,Haemanthus albiflos
6,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Clivia,Clivia miniata,Clivia minata
7,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,Plumeria rubra,Plumeria rubra
8,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Nerium,Nerium oleander,Nerium oleander
9,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,Ceropegia mixta,Orbea variegata
10,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Pachypodium,Pachypodium lamerei,Pachypodium lamerei
11,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,Allamanda cathartica,Allamanda cathartica
12,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus,Catharanthus roseus
13,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,Hoya carnosa,Hoya carnosa
14,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Amorphophallus albus,Amorphophallus albus
15,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Spathiphyllum,NA,Spathiphyllum
16,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Epipremnum,Epipremnum aureum,Epipremnum aureum
17,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pycnospatha,Pycnospatha arietina,Pycnospatha arietina
18,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,NA,Dieffenbachia
19,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus suber,Quercus suber
20,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera,Schefflera arboricola,Schefflera arboricola
21,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Polyscias,Polyscias fruticosa,Polyscias fruticosa
