Taxon
Abutilon pictum
Acalypha wilkesiana
Acanthostachys strobilacea
Adiantum hispidulum
Adiantum raddianum
Adromischus trigynus
Aechmea aculeatosepala
Aechmea allenii
Aechmea aquilega
Aechmea blanchetiana
Aechmea bracteata
Aechmea brevicollis
Aechmea bromeliifolia
Aechmea chantinii
Aechmea correia-arauji
Aechmea drakeana
Aechmea farinosa
Aechmea fasciata
Aechmea fendleri
Aechmea kuntzeana
Aechmea leptantha 
Aechmea longifolia
Aechmea lueddemanniana
Aechmea melinonii
Aechmea mertensii
Aechmea mexicana
Tillandsia multicaulis
Aechmea nallyi
Aechmea nidulariodes
Aechmea nudicanis
Aechmea penduliflora
Aechmea pubescens
Aechmea pyramidalis
Aechmea racinae
Aechmea strobilina
Aechmea tillandsioides
Aechmea zebrina
Aeschynanthus longicaulis
Aeschynanthus pulcher
Agapanthus africanus
Agave toumeyana
Agave utahensis
Agave victoriae-reginae
Agave attenuata
Agave gracilipes
Albizia saman
Alocasia 
Aloe ciliaris
Aloe marlothii
Aloe perfoliata
Aloe vera
Alpinia zerumbet
Alsophila cooperi
Amorphophallus konjac
Anacampseros telephiastrum
Ananas comosus
Angraecum longiscott
Angraecum sesquipedale
Ansellia africana
Anthurium andreanum 
Aquilegia 
Araeococcus parviflorus
Araucaria columnaris
Ardisia crispa
Aristolochia macroura
Asplenium bulbiferum
Asplenium nidus
Bauhinia purpurea
Beaucarnea recurvata
Begonia bowerae
Begonia fibrous
Begonia erythrophylla
Begonia maculata
Begonia manicata
Begonia rex
Billbergia leptopoda
Billbergia macrolepis
Bixa orellana
Bougainvillea glabra
Brasiliopuntia brasiliensis
Brugmansia suaveolens
Bryophyllum daigremontianum
Bryophyllum delagoense
Bulbophyllum makoyanum
Caladium 
Calathea lancifolia
Calathea makoyana
Calliandra emarginata
Callisia fragrans
Callisia repens
Canistrum fosterianum
Canistrum lindenii
Billbergia nutans
Canna indica
Carnegiea gigantea
Carruanthus ringens
Cattleya 
Ceiba pentandra
Ceratonia siliqua
Cereus repandus
Ceropegia woodii
Chlorophytum comosum
Cissus quadrangularis
Citrus aurantium
Cleistocactus buchtienii
Clerodendrum thomsoniae
Clivia miniata
Coelogyne tomentosa
Coleus 
Colocasia 
Columnea microphylla
Crassula falcata
Sedum nussbaumerianum
Crassula ovata
Crassula perforata
Cryptanthus diamantinensis
Cryptanthus dorothyae
Cryptanthus grazielae
Cuitlauzina pulchella
Cupressus sempervirens
Cycas revoluta
Cylindropuntia fulgida
Cylindropuntia leptocaulis
Cymbidium 
Cynanchum viminale
Cyperus  alternifolius
Cypripedium 
Cyrtomium falcatum
Dendrobium fimbriatan
Didymochlaena truncatula
Dieffenbachia  amoena
Disocactus ackermannii
Disocactus flagelliformis
Dorstenia elata
Dracaena
Drosera  spatulata
Dyckia fosteriana
Echeveria cobrata
Echeveria gigantea
Echeveria lilacenia
